-0.812 +0.387 +0.351
-0.860 +0.340 +0.402
-0.850 +0.370 +0.425
-0.848 +0.367 +0.450
-0.854 +0.342 +0.412
-0.884 +0.341 +0.400
-0.937 +0.464 +0.436
-1.036 +0.732 +0.456
-1.014 +0.773 +0.469
-0.977 +0.714 +0.413
-0.878 +0.444 +0.334
-0.832 +0.363 +0.364
-0.794 +0.189 +0.424
-0.702 +0.014 +0.402
-0.690 +0.001 +0.298
-0.646 +0.029 +0.257
-0.612 -0.018 +0.244
-0.615 -0.091 +0.302
-0.605 -0.144 +0.344
-0.482 -0.070 +0.488
-0.423 +0.015 +0.530
-0.341 +0.141 +0.586
-0.188 +0.418 +0.816
-0.140 +0.461 +0.895
-0.070 +0.594 +0.954
+0.040 +0.902 +1.120
+0.065 +0.954 +1.170
+0.085 +1.033 +1.144
+0.110 +1.222 +1.074
+0.119 +1.236 +1.019
+0.135 +1.277 +0.983
+0.188 +1.320 +0.916
+0.200 +1.241 +0.836
+0.223 +1.085 +0.801
+0.260 +0.766 +0.816
+0.247 +0.714 +0.798
+0.225 +0.630 +0.799
+0.164 +0.432 +0.868
+0.144 +0.417 +0.860
+0.102 +0.375 +0.900
+0.006 +0.288 +1.028
-0.018 +0.265 +1.024
-0.041 +0.263 +1.027
-0.082 +0.342 +1.044
-0.105 +0.320 +1.091
-0.130 +0.283 +1.134
-0.176 +0.224 +1.122
-0.193 +0.215 +1.117
-0.218 +0.210 +1.103
-0.238 +0.252 +1.046
-0.230 +0.287 +1.020
-0.223 +0.315 +0.989
-0.214 +0.378 +1.006
-0.207 +0.389 +0.957
-0.213 +0.391 +0.922
-0.218 +0.400 +0.882
-0.220 +0.429 +0.871
-0.234 +0.458 +0.846
-0.256 +0.426 +0.894
-0.257 +0.418 +0.911
-0.267 +0.414 +0.904
-0.238 +0.476 +0.910
-0.276 +0.477 +1.070
-0.287 +0.307 +0.913
-0.312 +0.368 +0.770
-0.319 +0.330 +0.872
-0.303 +0.387 +0.826
-0.306 +0.374 +0.836
-0.301 +0.356 +0.862
-0.304 +0.334 +0.860
-0.320 +0.284 +0.986
-0.874 +0.416 +0.320
-0.854 +0.474 +0.242
-0.774 +0.490 +0.410
-0.758 +0.477 +0.429
-0.766 +0.448 +0.394
-0.784 +0.350 +0.352
-0.780 +0.263 +0.374
-0.778 +0.143 +0.349
-0.704 -0.070 +0.276
-0.709 -0.046 +0.303
-0.650 +0.111 +0.434
-0.518 +0.466 +0.514
-0.500 +0.346 +0.567
-0.420 +0.235 +0.655
-0.270 +0.096 +0.880
-0.191 +0.158 +0.886
-0.079 +0.404 +0.903
+0.076 +1.090 +1.396
+0.074 +1.129 +1.350
+0.102 +1.189 +1.291
+0.150 +1.340 +1.044
+0.152 +1.368 +1.090
+0.166 +1.310 +0.997
+0.180 +1.022 +0.784
+0.185 +0.885 +0.760
+0.195 +0.722 +0.755
+0.216 +0.520 +0.766
+0.219 +0.526 +0.743
+0.215 +0.542 +0.769
+0.206 +0.524 +0.832
+0.191 +0.464 +0.877
+0.139 +0.366 +0.935
+0.004 +0.184 +1.126
-0.024 +0.227 +1.121
-0.085 +0.172 +1.179
-0.220 +0.072 +1.254
-0.232 +0.098 +1.250
-0.240 +0.125 +1.241
-0.238 +0.166 +1.106
-0.226 +0.202 +1.052
-0.208 +0.260 +0.983
-0.192 +0.316 +0.964
-0.191 +0.312 +0.920
-0.177 +0.344 +0.935
-0.160 +0.414 +0.938
